phy_lbr,tot_emp,women,white,black,asian,hispanic
0,155761,46.9,78.0,12.3,6.3,17.3
1,2425,25.9,92.8,2.6,1.6,26.0
1,1230,26.7,92.9,2.1,2.0,31.8
1,810,26.5,93.6,2.3,1.0,19.9
1,43,0,0,0,0,0
1,112,5.9,89.9,7.6,0.0,3.8
1,54,12.8,83.7,1.9,7.8,8.8
0,176,33.7,94.2,3.7,1.2,35.3
1,784,13.8,87.3,6.4,2.8,20.7
1,78,19.1,85.5,5.4,8.1,17.7
1,64,6.2,88.4,3.2,0.4,5.7
1,30,0,0,0,0,0
1,101,12.4,91.4,7.6,0.1,10.8
1,6,0,0,0,0,0
0,504,14.8,86.2,7.2,3.0,24.8
1,11181,9.9,88.4,6.2,2.0,30.7
1,15560,29.2,79.5,10.4,6.9,16.7
1,9831,25.1,80.3,9.3,7.5,14.3
1,475,19.6,85.7,8.1,3.5,21.9
1,22,0,0,0,0,0
1,26,0,0,0,0,0
1,148,23.8,78.7,13.5,6.9,18.3
1,181,11.5,91.0,5.4,0.5,24.0
1,99,19.5,87.0,5.2,4.1,24.6
1,1680,17.2,85.7,7.9,3.2,15.5
1,268,11.8,83.7,10.8,2.0,12.2
1,59,29.3,83.3,13.1,1.4,14.8
1,48,0,0,0,0,0
0,81,18.2,86.5,5.8,4.4,13.4
0,60,18.1,83.8,12.7,1.3,13.7
1,41,0,0,0,0,0
1,358,14.6,85.2,8.7,2.4,16.6
1,295,13.5,91.6,1.2,5.3,16.1
0,67,24.9,80.9,12.1,6.3,20.3
0,45,0,0,0,0,0
1,327,18.9,84.7,7.7,2.9,16.8
0,30,0,0,0,0,0
1,1218,21.0,83.3,8.8,4.8,11.4
1,114,26.6,84.3,8.0,4.7,12.8
1,148,13.9,83.7,8.9,3.3,18.2
0,71,28.7,78.0,8.1,8.8,9.9
1,128,14.7,93.1,4.2,2.2,6.4
1,49,0,0,0,0,0
1,690,22.0,81.8,10.2,4.7,10.9
1,17,0,0,0,0,0
1,1096,29.2,72.8,4.6,20.1,11.9
1,173,24.0,71.5,2.9,23.5,10.7
1,112,25.1,77.4,5.0,14.4,13.6
1,206,33.1,82.2,5.8,8.6,9.8
1,605,30.1,69.0,4.7,24.0,12.7
1,402,31.2,75.4,12.4,9.6,12.3
1,74,36.4,83.7,9.5,3.3,10.9
1,328,30.1,73.6,13.1,11.0,12.6
0,2528,23.8,76.9,13.1,7.2,10.9
1,1432,25.0,75.4,16.7,5.6,9.6
1,805,23.9,79.0,6.8,11.0,12.3
1,51,21.3,86.8,0.7,12.6,11.3
1,28,0,0,0,0,0
1,171,13.6,75.1,19.5,1.7,13.7
0,42,0,0,0,0,0
1,449,16.5,87.3,7.4,2.4,22.6
1,147,13.2,90.4,6.9,1.7,14.3
1,34,0,0,0,0,0
1,38,0,0,0,0,0
1,229,18.1,83.9,7.5,3.4,25.3
1,421,25.1,86.6,6.3,3.9,16.6
1,1563,38.2,78.8,9.3,8.7,17.3
1,627,40.5,78.9,7.4,11.4,13.2
1,120,41.4,75.6,14.1,7.4,9.1
1,533,37.9,78.9,9.7,6.6,18.6
1,283,32.6,80.1,10.6,6.9,27.6
1,5729,36.2,78.0,12.4,5.9,20.8
1,1825,41.4,74.6,15.1,5.4,29.4
1,156,24.9,86.2,9.3,1.6,17.1
0,88,46.1,75.3,17.9,4.0,17.3
1,163,37.7,75.8,11.6,4.8,37.8
1,176,25.3,82.6,7.7,6.1,22.9
0,512,39.1,63.1,25.5,4.8,34.8
0,248,69.1,77.4,10.4,8.0,28.2
1,202,44.4,79.2,10.1,6.2,34.1
0,206,40.6,77.5,13.9,6.0,23.4
0,73,34.7,77.0,9.3,6.7,38.9
1,318,26.4,73.4,17.7,3.5,15.4
1,301,27.1,74.0,16.9,3.4,16.2
1,18,0,0,0,0,0
1,567,52.9,78.6,9.5,8.9,29.6
0,11,0,0,0,0,0
0,90,40.0,77.1,14.1,2.5,18.6
0,16,0,0,0,0,0
0,71,34.0,90.0,8.5,1.5,16.4
0,87,52.2,76.8,9.9,6.1,21.5
0,15,0,0,0,0,0
1,215,66.5,72.8,8.5,16.8,47.1
1,11,0,0,0,0,0
1,26,0,0,0,0,0
1,25,0,0,0,0,0
1,875,29.3,85.1,8.5,3.7,15.6
0,204,17.0,85.2,11.4,1.9,9.1
1,107,30.9,75.0,16.5,1.9,23.1
0,71,19.6,83.4,10.0,3.5,17.4
0,492,35.5,87.5,5.3,4.9,16.4
1,193,16.0,75.1,14.2,6.7,19.7
1,163,14.8,74.5,15.4,7.3,21.4
1,29,0,0,0,0,0
1,1426,35.7,79.4,10.5,7.8,13.0
1,175,25.3,84.6,9.0,2.7,20.7
1,37,0,0,0,0,0
1,563,48.6,74.5,9.8,13.7,10.7
1,78,18.2,86.2,10.2,1.2,16.4
1,149,43.9,72.9,17.3,7.5,11.7
0,424,23.6,84.2,10.2,3.5,13.2
1,526,26.2,78.0,14.5,3.9,15.0
1,376,27.7,76.8,15.3,4.0,17.4
1,62,15.2,71.9,17.4,8.9,4.3
1,87,27.7,87.4,9.0,0.0,12.5
0,20270,44.7,78.7,11.9,5.6,18.0
0,3671,28.5,83.2,8.9,5.2,19.2
0,179,20.5,80.5,12.0,4.8,20.3
0,70,34.0,88.9,3.2,7.1,22.0
0,168,22.4,90.6,6.4,2.0,16.3
0,331,34.7,87.1,7.7,3.7,12.9
0,49,0,0,0,0,0
0,221,27.5,87.5,5.6,5.4,13.6
0,142,20.2,86.0,6.4,4.4,9.8
0,357,26.3,91.4,3.4,2.4,12.4
0,107,18.4,87.5,7.8,0.5,25.1
0,72,36.5,89.5,4.6,2.7,28.6
0,48,0,0,0,0,0
0,223,48.9,73.0,15.5,8.5,12.5
0,95,46.4,72.5,13.7,6.4,30.8
0,887,24.3,77.4,13.4,5.6,27.9
0,64,24.4,96.7,1.4,0.3,9.7
0,137,16.3,80.0,11.3,5.5,21.0
0,115,17.9,89.3,6.0,1.5,13.9
0,55,29.1,92.5,1.7,4.0,10.9
0,191,40.3,82.7,7.0,8.6,18.5
0,95,36.8,71.0,7.5,19.7,24.5
0,66,33.0,76.1,8.3,14.3,22.3
0,16599,48.3,77.7,12.6,5.6,17.7
0,1362,19.5,84.0,9.2,3.4,19.3
0,169,24.0,93.1,1.8,0.7,9.9
0,499,19.3,81.7,11.2,2.8,20.9
0,603,42.3,81.2,11.8,4.7,18.7
0,71,28.3,72.0,16.4,5.0,19.4
0,510,31.6,77.1,14.0,6.4,20.9
0,1048,31.3,81.7,9.7,3.1,14.3
0,206,31.0,87.4,5.7,1.3,12.7
0,258,34.3,95.3,3.0,0.8,8.9
0,2788,48.4,75.5,13.5,6.1,19.3
0,218,51.1,82.8,8.3,6.2,23.9
0,122,31.9,76.0,6.3,16.0,12.4
0,949,64.9,73.1,12.8,10.3,14.7
0,397,69.8,78.2,10.3,8.1,17.8
0,478,50.7,73.6,11.2,9.1,14.3
0,974,76.2,76.6,12.8,7.3,23.2
0,150,54.2,68.7,20.6,6.0,28.4
0,177,64.1,86.1,4.1,8.5,15.7
0,478,43.4,88.4,4.7,2.5,12.2
0,41,0,0,0,0,0
0,36,0,0,0,0,0
0,106,66.8,72.0,16.6,4.7,10.4
0,1921,60.3,71.4,18.9,4.4,18.4
0,612,60.0,68.3,21.3,4.7,20.8
0,94,67.6,88.2,8.9,1.5,7.7
0,150,37.6,76.9,11.6,8.0,15.3
0,247,66.8,83.3,11.2,2.3,14.3
0,129,73.0,84.8,8.3,5.3,8.7
0,557,51.6,82.7,7.7,5.3,16.4
0,445,47.1,63.2,18.8,14.3,13.1
0,27,0,0,0,0,0
0,59,49.7,69.3,15.5,7.2,13.3
0,45,0,0,0,0,0
0,77,26.9,94.9,3.5,0.4,10.6
0,166,63.7,84.8,11.2,1.3,20.8
0,428,54.7,71.2,17.0,9.0,20.0
0,8551,24.4,71.7,19.2,5.5,18.3
0,7207,24.9,69.1,21.1,5.9,19.7
0,635,42.9,71.6,17.7,6.7,15.0
0,224,7.2,84.5,11.4,2.5,9.7
0,87,25.1,85.4,9.5,3.7,15.6
0,1985,12.5,78.1,15.6,3.3,19.8
0,576,36.4,55.9,35.6,4.9,19.9
0,689,18.1,48.1,30.2,16.9,18.5
0,64,7.5,93.9,5.1,0.5,20.0
0,38,0,0,0,0,0
0,850,25.8,71.9,18.0,6.0,22.0
0,619,44.6,60.2,28.6,6.4,11.9
0,807,23.1,68.3,22.1,5.3,19.7
0,634,31.5,68.7,21.8,4.5,34.3
0,1345,21.4,85.5,9.0,3.0,11.0
0,718,22.3,85.7,8.8,3.3,9.9
0,133,18.7,85.6,11.0,2.7,9.1
0,129,22.8,86.1,6.5,4.9,13.5
0,245,20.8,82.7,10.8,1.9,14.5
0,96,17.5,88.6,6.8,1.6,7.2
0,24,0,0,0,0,0
0,2919,38.3,78.3,11.6,7.3,12.2
0,178,46.4,85.6,6.9,4.2,8.4
0,198,58.3,85.5,6.8,6.4,6.3
0,86,33.5,74.0,2.2,21.8,5.0
0,494,32.3,81.7,10.3,3.6,15.7
0,44,0,0,0,0,0
0,550,32.7,78.4,15.2,4.4,13.7
0,153,40.0,66.6,4.9,26.5,12.3
0,434,30.6,69.9,19.3,8.0,12.8
0,439,26.9,76.3,11.9,9.1,12.3
0,101,45.8,80.3,6.9,8.6,12.2
0,214,78.1,87.3,7.5,2.5,11.3
0,29,0,0,0,0,0
0,10649,52.6,79.7,10.2,7.5,12.6
0,7376,55.0,78.7,10.2,8.4,11.4
0,1992,58.2,74.5,11.2,11.4,12.1
0,257,67.3,82.5,8.9,3.8,14.9
0,1004,52.4,76.4,11.0,9.0,14.4
0,1325,39.9,82.9,5.4,9.4,8.4
0,2797,59.7,80.2,11.6,6.1,11.0
0,3273,47.0,82.0,10.2,5.2,15.4
0,2869,49.5,83.2,9.0,5.4,15.1
0,405,29.5,73.3,19.2,4.1,17.2
0,185,32.5,65.8,25.8,6.1,13.7
0,8,0,0,0,0,0
0,106,31.7,72.4,18.4,2.8,23.7
0,106,21.9,86.0,9.4,2.3,17.9
0,18950,41.5,78.1,9.9,9.0,15.9
0,12105,42.2,79.0,6.6,12.1,8.7
0,1673,56.2,87.5,6.4,4.0,10.9
0,1131,60.0,81.0,7.9,8.6,8.7
0,1767,25.5,84.8,5.9,6.9,9.0
0,405,57.7,84.9,3.4,7.7,13.1
0,3339,27.2,67.1,7.0,23.6,6.6
0,1686,43.2,79.8,7.6,10.7,7.9
0,616,45.6,75.6,8.3,13.8,8.3
0,629,47.5,85.0,5.0,8.5,10.0
0,404,84.3,92.3,2.5,2.3,9.0
0,456,55.6,83.2,6.8,7.1,11.6
0,6845,40.3,76.7,15.7,3.4,28.8
0,212,43.5,83.8,8.1,5.6,12.6
0,954,55.3,70.3,21.2,4.9,19.4
0,705,64.6,70.4,20.8,3.8,18.8
0,290,61.4,77.1,11.5,9.1,15.4
0,839,24.5,65.5,27.0,3.3,15.3
0,1604,55.8,77.5,14.7,2.6,40.8
0,1418,10.6,87.9,6.8,1.1,44.2
0,345,51.6,78.7,9.8,6.5,18.8
0,480,16.1,77.4,17.5,2.1,23.0
0,35043,74.4,75.5,15.1,6.4,12.9
0,13910,68.3,80.4,11.5,5.2,11.9
0,9147,74.8,82.2,11.8,3.2,13.2
0,3819,53.6,76.5,11.1,9.6,9.2
0,99,51.4,76.7,10.2,9.4,9.8
0,844,66.1,79.0,10.3,7.5,9.3
0,21133,78.4,72.3,17.5,7.1,13.6
0,7108,75.0,73.1,15.4,8.9,10.9
0,10636,78.7,71.9,18.4,6.6,13.8
0,1595,77.3,78.9,10.9,7.1,14.1
0,873,84.0,83.9,5.8,6.9,18.7
0,145,58.6,89.5,5.3,3.1,8.7
0,159,75.2,80.8,5.5,7.4,10.9
0,355,79.0,84.3,7.4,6.7,8.2
0,1904,76.7,76.2,14.6,6.2,14.0
0,1472,87.9,63.0,26.1,7.2,18.5
0,1550,70.2,68.0,20.0,9.1,12.0
0,1652,84.2,63.5,28.3,5.6,11.0
0,930,74.3,66.6,26.3,3.9,12.2
0,3389,84.2,71.8,19.5,4.8,18.6
0,1608,77.9,69.6,20.8,5.4,16.5
0,125,66.5,76.0,16.5,2.4,15.2
0,94,54.5,71.4,24.3,0.3,15.6
0,1562,93.8,73.8,18.1,4.7,21.2
0,14268,51.5,74.3,13.4,6.8,23.1
0,3362,44.7,77.3,11.4,5.1,14.0
0,915,40.6,80.7,11.3,4.8,11.4
0,338,49.5,82.4,10.8,3.3,13.8
0,38,0,0,0,0,0
0,2072,45.6,74.9,11.7,5.6,15.2
0,10905,53.6,73.3,14.0,7.4,25.9
0,1467,58.2,70.4,16.6,8.0,27.9
0,1350,59.6,68.7,17.6,8.4,29.5
0,117,41.3,90.9,5.0,2.8,9.6
0,9438,52.9,73.8,13.6,7.3,25.6
0,9190,52.9,73.6,13.7,7.4,26.0
0,248,52.6,82.9,9.9,1.7,10.2
0,7742,53.6,77.5,10.8,8.4,20.3
0,6965,49.1,76.9,11.0,9.0,17.7
0,2189,12.5,84.7,8.1,3.3,27.2
0,1342,9.7,85.2,8.1,2.8,28.1
0,194,15.7,73.3,16.9,5.7,35.5
0,107,21.6,77.4,8.2,9.0,20.7
0,328,8.0,88.5,5.9,1.1,26.8
0,210,30.2,89.8,2.9,5.5,18.9
0,7,0,0,0,0,0
0,2676,74.1,67.5,12.6,16.8,17.0
0,123,23.8,61.4,30.8,5.9,28.1
0,1092,90.5,73.5,13.4,10.2,16.6
0,585,78.0,42.6,7.2,47.2,8.4
0,301,50.5,70.7,12.4,11.4,37.6
0,122,38.8,84.5,13.5,0.8,12.8
0,454,68.1,80.2,12.4,4.5,13.6
0,2101,55.6,80.6,12.0,4.9,8.8
0,1043,47.7,83.7,10.1,4.3,6.8
0,815,67.1,74.7,15.8,6.1,10.5
0,71,40.8,85.0,7.4,6.1,18.2
0,171,54.5,88.0,7.5,2.5,9.0
0,777,93.2,83.2,9.4,3.0,43.6
0,7419,45.8,74.9,16.9,4.4,11.7
0,1275,53.3,71.3,17.7,5.7,11.9
0,340,65.4,72.7,17.4,6.7,9.6
0,125,37.8,78.0,13.3,4.8,8.5
0,2827,34.0,79.2,15.9,2.2,11.7
0,1097,73.9,67.5,22.1,6.4,14.6
0,266,44.4,81.6,10.3,3.1,5.7
0,557,42.9,75.9,16.3,4.5,8.7
0,933,33.9,73.3,15.1,6.6,12.8
